sample,date,time,tide_height,temperature,salinity,DO,pH,elevation,distance_well1,tide,campaign,nitrite,nitrate,ammonia,phosphate,sample-type,quant_reading
010322-L-W4D1,3/1/22,19:04,-1.81,11.9,32.3,8.16,8.1,-0.420624,19.685,low,Winter 2022,0,23.98851978,0,3.293109826,porewater,2.5
010322-L-W4D2,3/1/22,19:04,-1.81,11.3,32.4,8.44,8.1,-0.588264,19.685,low,Winter 2022,0,22.98899812,0,3.034826703,porewater,2.725
010322-L-W4D3,3/1/22,19:04,-1.81,11.2,32.7,8.64,8,-1.00584,19.685,low,Winter 2022,0,47.54867313,0.701685864,6.586219653,porewater,0.429
010322-L-W4D4,3/1/22,19:04,-1.81,11.5,32.2,8.49,8,-1.76784,19.685,low,Winter 2022,0,39.26692226,0,3.680534512,porewater,0.49
011222-KitBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Summer 2022,NA,NA,NA,NA,kitome-blank,0.01
030322-H-W1D1,3/3/22,13:02,1.58,13.9,1.9,6.57,8.8,0.841248,0,high,Winter 2022,10.3521886,171.203781,1.497911183,30.86483327,porewater,2.22
030322-H-W1D2,3/3/22,13:02,1.58,13.9,1.7,8.53,8.8,0.536448,0,high,Winter 2022,3.569720205,171.9891195,1.260823743,31.8011096,porewater,2.815
030322-H-W1D3,3/3/22,13:03,1.58,14.1,3.6,4.25,8,-0.033528,0,high,Winter 2022,0,55.40205759,0,15.75527054,porewater,1.76
030322-H-W1D4,3/3/22,13:03,1.58,14.2,3.7,8.22,8.2,-0.57912,0,high,Winter 2022,0,0,34.74942457,86.81541493,porewater,1.45
030322-H-W2D1,3/3/22,12:36,2.14,13.6,31.1,6.93,7.9,0.56388,4.75,high,Winter 2022,26.1303519,248.3097375,37.279863,13.5275786,porewater,2.155
030322-H-W2D2,3/3/22,12:36,2.14,13.5,32.8,4.43,7.9,0.347472,4.75,high,Winter 2022,18.56254507,167.5626664,23.8096653,14.98042117,porewater,1.6275
030322-H-W2D3,3/3/22,12:37,2.14,13.9,18.7,2.79,7.9,-0.222504,4.75,high,Winter 2022,4.140875438,122.5841919,0.906254245,11.13845971,porewater,1.92
030322-H-W3D1,3/3/22,12:12,2.5,12.9,20.6,8.95,8.1,0.283464,10.058,high,Winter 2022,0,148.928727,0,6.747646605,porewater,2.69
030322-H-W3D2,3/3/22,12:12,2.5,13.1,23.3,8.16,8.1,0.155448,10.058,high,Winter 2022,0,167.3484832,0,9.491904793,porewater,1.36
030322-H-W3D3,3/3/22,12:12,2.5,13.2,6.3,4.08,8.4,-0.326136,10.058,high,Winter 2022,0,94.09782461,0,12.26844837,porewater,1.2
030322-H-W3D4,3/3/22,12:12,2.5,13.3,9.8,7.93,7.9,-1.088136,10.058,high,Winter 2022,1.070916062,45.83520744,1.354471386,41.09930205,porewater,2.295
030322-H-W4D1,3/3/22,11:45,2.86,12.3,32.1,8.58,7.9,-0.420624,19.685,high,Winter 2022,0,20.41879957,0,2.87339975,porewater,1.665
030322-H-W4D2,3/3/22,11:45,2.86,12.5,32.2,8.42,7.9,-0.588264,19.685,high,Winter 2022,0,25.55919667,0,3.196253655,porewater,1.83
030322-H-W4D3,3/3/22,11:45,2.86,12,32.3,8.55,7.8,-1.00584,19.685,high,Winter 2022,0,38.76716143,0,3.486822169,porewater,0.464
030322-H-W4D4,3/3/22,11:45,2.86,12,32.1,8.7,7.8,-1.76784,19.685,high,Winter 2022,0,37.98182298,0,3.648249121,porewater,0.357
030322-L-MQBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.56350175,NA,2.87339975,field-blank,0.01
030322-L-W1D1,3/3/22,18:46,-2.57,13.8,2.5,7.09,8.8,0.841248,0,low,Winter 2022,4.926213883,166.8487224,NA,24.56918214,porewater,1.605
030322-L-W1D2,3/3/22,18:46,-2.57,13.9,1.4,2.52,8.9,0.536448,0,low,Winter 2022,2.998564972,181.7701529,1.320095603,33.31852295,porewater,2.2425
030322-L-W1D3,3/3/22,18:46,-2.57,14.1,4.1,1.75,8,-0.033528,0,low,Winter 2022,NA,NA,NA,NA,porewater,0.61
030322-L-W1D4,3/3/22,18:46,-2.57,14,3.6,5.77,8.3,-0.57912,0,low,Winter 2022,0,0,1.379367463,60.85796101,porewater,1.56
030322-L-W2D1,3/3/22,19:25,-1.99,13.1,17.1,7.44,8.4,0.56388,4.75,low,Winter 2022,13.20796476,215.4683116,36.52758037,16.85297382,porewater,1.8925
030322-L-W2D2,3/3/22,19:25,-1.99,12.9,16.9,4.98,8.3,0.347472,4.75,low,Winter 2022,10.423583,154.4260961,23.11354591,15.85212671,porewater,1.065
030322-L-W2D3,3/3/22,19:25,-1.99,13.2,11,2.41,8.2,-0.222504,4.75,low,Winter 2022,0,92.24157011,11.67748485,10.97703275,porewater,0.862
030322-L-W3D2,3/3/22,20:00,-1.22,12.4,18.9,8.36,8.3,0.155448,10.058,low,Winter 2022,0,156.5679282,-0.041212447,73.25555094,porewater,2.325
030322-L-W3D3,3/3/22,20:00,-1.22,12.7,4.7,1.91,8.6,-0.326136,10.058,low,Winter 2022,0,111.9464256,0,14.43156953,porewater,1.1
030322-L-W3D4,3/3/22,20:00,-1.22,12.9,10.4,4.23,7.9,-1.088136,10.058,low,Winter 2022,0.713944041,50.61863251,2.330399441,35.86906879,porewater,1.505
030322-L-W4D1,3/3/22,20:35,-0.32,12.2,32.1,7.78,8,-0.420624,19.685,low,Winter 2022,0,41.7657264,8.05510749,3.228539045,porewater,1.918
030322-L-W4D2,3/3/22,20:35,-0.32,12,31.9,7.83,8,-0.588264,19.685,low,Winter 2022,0,34.7690748,0,3.486822169,porewater,1.9275
030322-L-W4D3,3/3/22,20:35,-0.32,11.5,32.2,8.26,8,-1.00584,19.685,low,Winter 2022,0,34.19791957,0.690700267,4.132529978,porewater,0.446
030322-L-W4D4,3/3/22,20:35,-0.32,11.5,32.2,8.57,7.9,-1.76784,19.685,low,Winter 2022,0,32.55584827,0,5.230233254,porewater,0.274
111022-M-MQBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.214183212,3.141353781,0,0,field-blank,0.01
111022-M-Seawater,10/11/22,16:30,0.23,17.1,32.7,8.49,8,0.070104,35,mid,Summer 2022,0.214183212,5.711552329,3.1459163,1.775696475,seawater,2.335
111022-M-W1D1,10/11/22,14:06,1.97,19.3,2.7,3.47,8.5,-0.055,0,mid,Summer 2022,11.99425989,486.4100752,0.8509585,25.86059775,porewater,0.799
111022-M-W1D2,10/11/22,14:06,1.97,18.9,1.3,3.03,7.6,-0.5,0,mid,Summer 2022,16.34931854,198.4764434,0,12.1715922,porewater,2.03
111022-M-W1D3,10/11/22,14:06,1.97,19,6.6,3.21,7.8,-0.881,0,mid,Summer 2022,0.356972021,4.926213883,18.9121628,40.22759651,porewater,1.81
111022-M-W1D4,10/11/22,14:06,1.97,20.1,5.8,3.33,7.9,-0.908,0,mid,Summer 2022,0.499760829,3.783903418,22.3600388,47.23352623,porewater,1.06
111022-M-W1D5,10/11/22,14:31,1.73,18.1,3.1,4.39,8.1,-1.137,0,mid,Summer 2022,0.142788808,3.212748185,29.7366273,62.63365748,porewater,0.421
111022-M-W2D1,10/11/22,14:45,1.58,19.6,1.4,3.46,8.1,-0.235,4.75,mid,Summer 2022,16.77768497,250.4515696,1.1065839,12.59130228,porewater,2.26
111022-M-W2D2,10/11/22,14:45,1.58,19.1,8,3.67,7.5,-0.643,4.75,mid,Summer 2022,20.27601077,101.5228426,1.4563825,8.846196984,porewater,2.4
111022-M-W2D3,10/11/22,14:45,1.58,19.2,14.7,7.04,7.5,-0.881,4.75,mid,Summer 2022,5.925735541,5.782946733,2.7478992,15.27098968,porewater,0.343
111022-M-W2D4,10/11/22,14:45,1.58,19.8,12.5,7.72,7.6,-1.055,4.75,mid,Summer 2022,3.069959377,6.139918753,11.5944413,37.58019449,porewater,0.431
111022-M-W3D1,10/11/22,16:00,0.63,19.4,3.1,3.21,8.6,0.052,10.058,mid,Summer 2022,5.854341137,189.9091149,2.1929918,19.24209271,porewater,1.03
111022-M-W3D2,10/11/22,16:00,0.63,18.5,4.9,3.47,7.9,-0.619,10.058,mid,Summer 2022,3.355536993,31.98469304,2.3208045,21.50207004,porewater,0.95
111022-M-W3D3,10/11/22,16:00,0.63,18.5,4.9,3.54,7.9,-0.817,10.058,mid,Summer 2022,1.784860103,26.0589575,0.8509585,26.15116627,porewater,1.04
111022-M-W3D4,10/11/22,16:00,0.63,18.1,4.8,3.68,7.8,-0.954,10.058,mid,Summer 2022,0.713944041,5.854341137,6.7303424,57.17742649,porewater,1.8
111022-M-W4D1,10/11/22,16:30,0.23,18.6,10.5,6.55,8,0.064,19.685,mid,Summer 2022,0.285577616,52.1893094,1.0563337,5.456230987,porewater,1.465
111022-M-W4D2,10/11/22,16:30,0.23,18.6,10.7,7.93,8.1,-0.189,19.685,mid,Summer 2022,3.569720205,89.67137156,1.2383654,6.166509577,porewater,2.04
111022-M-W4D4,10/11/22,16:30,0.23,18,9.2,4.32,8.1,-0.823,19.685,mid,Summer 2022,5.640157924,78.03408369,0,6.457078091,porewater,1.74
141022-M-MQBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.214183212,5.997129945,1.1704903,-0.096856171,field-blank,0.01
141022-M-Seawater,10/14/22,18:05,0.36,15.5,33.3,9.44,8,0.109728,35,mid,Summer 2022,0.785338445,6.78246839,3.3224218,1.904838037,seawater,2.14
141022-M-W1D1,10/14/22,15:40,1.78,18.8,0.8,4.06,8.7,-0.055,0,mid,Summer 2022,16.27792414,423.0832387,1.681741,29.79941539,porewater,0.523
141022-M-W1D2,10/14/22,15:40,1.78,18.6,1,4.09,7.7,-0.5,0,mid,Summer 2022,14.27888082,217.0389885,1.1704903,12.72044384,porewater,1.83
141022-M-W1D3,10/14/22,15:40,1.78,18.6,9.6,5.2,7.7,-0.881,0,mid,Summer 2022,1.57067689,9.781033363,22.0273943,33.80280381,porewater,0.961
141022-M-W1D4,10/14/22,15:40,1.78,18.2,7.8,6.87,7.9,-0.908,0,mid,Summer 2022,0,0.713944041,27.5565733,50.52663606,porewater,0.297
141022-M-W1D5,10/14/22,16:07,1.59,17.8,4.2,3.06,8,-1.137,0,mid,Summer 2022,0.071394404,-0.428366425,43.5403982,52.94804034,porewater,1.08
141022-M-W2D1,10/14/22,16:30,1.39,18.3,1,4.56,8.3,-0.235,4.75,mid,Summer 2022,18.63393947,285.6490108,1.2343966,12.26844837,porewater,1.01
141022-M-W2D2,10/14/22,16:30,1.39,18,6.4,4.07,7.8,-0.643,4.75,mid,Summer 2022,22.6320261,161.3513533,1.3857327,10.29903955,porewater,1.01
141022-M-W2D3,10/14/22,16:30,1.39,18.1,14.4,6.71,7.6,-0.881,4.75,mid,Summer 2022,8.138962068,15.99234652,5.0364792,13.14015391,porewater,0.25
141022-M-W2D4,10/14/22,16:30,1.39,18.3,14.1,6.9,7.7,-1.055,4.75,mid,Summer 2022,4.355058651,7.781990048,13.5877539,29.4119907,porewater,0.759
141022-M-W3D1,10/14/22,17:20,0.87,18.1,2.4,5.21,8.7,0.052,10.058,mid,Summer 2022,5.997129945,264.7304504,1.1065839,18.46724334,porewater,1.505
141022-M-W3D2,10/14/22,17:20,0.87,17.6,5.6,3.57,8,-0.619,10.058,mid,Summer 2022,5.640157924,67.11073986,2.6012368,17.04668616,porewater,2.12
141022-M-W3D3,10/14/22,17:20,0.87,17.1,6,4.52,8,-0.817,10.058,mid,Summer 2022,5.425974712,62.68428681,3.9020847,26.44173478,porewater,1.33
141022-M-W3D4,10/14/22,17:20,0.87,17.3,6.2,4.72,8,-0.954,10.058,mid,Summer 2022,2.070437719,24.63106942,8.1516245,55.11116151,porewater,1.5
141022-M-W4D1,10/14/22,17:50,0.53,17.5,11,5.11,8.1,0.064,19.685,mid,Summer 2022,1.285099274,107.7341558,1.7951379,6.521648872,porewater,1.51
141022-M-W4D2,10/14/22,17:50,0.53,17.4,10.9,4.61,8,-0.189,19.685,mid,Summer 2022,5.640157924,78.60523892,1.1055167,6.295651139,porewater,2.16
141022-M-W4D4,10/14/22,17:50,0.53,17.1,9.3,5.59,8.1,-0.823,19.685,mid,Summer 2022,5.997129945,90.74228762,1.3492019,4.810523178,porewater,0.692
141122-KitBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Summer 2022,NA,NA,NA,NA,kitome-blank,0.01
151122-KitBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Summer 2022,NA,NA,NA,NA,kitome-blank,0.01
171022-M-MQBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.214183212,0.071394404,0,-17.20811311,field-blank,0.01
171022-M-SW,10/17/22,20:05,-1.68,14.8,NA,9.2,8.1,-0.512064,35,mid,Summer 2022,-2.855776164,12.63680953,1.3502541,-2.711972798,seawater,2.28
171022-M-W1D1,10/17/22,18:19,-0.77,18,0.7,4.37,8.9,-0.055,0,mid,Summer 2022,16.27792414,474.2730265,1.5539284,24.37546979,porewater,0.428
171022-M-W1D2,10/17/22,18:19,-0.77,17.6,0.9,5.18,8,-0.5,0,mid,Summer 2022,14.77864165,237.7433657,1.2343966,6.4247927,porewater,1.53
171022-M-W1D3,10/17/22,18:19,-0.77,17.5,11.7,9.58,8,-0.881,0,mid,Summer 2022,4.069481034,39.26692226,9.6551498,18.98380959,porewater,0.958
171022-M-W1D4,10/17/22,18:19,-0.77,17.4,8.8,5.93,8,-0.908,0,mid,Summer 2022,-3.069959377,9.138483726,22.722521,30.89711866,porewater,1.13
171022-M-W1D5,10/17/22,18:37,-0.96,17.3,4.3,3.89,8.3,-1.137,0,mid,Summer 2022,-3.712509014,5.640157924,40.0255492,30.21912546,porewater,0.83
171022-M-W2D1,10/17/22,18:50,-0.96,17.3,1,7.82,8.4,-0.235,4.75,mid,Summer 2022,14.92143046,313.7070116,2.4486172,6.005082624,porewater,2.12
171022-M-W2D2,10/17/22,18:50,-0.96,17.5,5.7,8.97,8,-0.643,4.75,mid,Summer 2022,21.63250444,177.0581222,0.5341671,4.29395693,porewater,0.868
171022-M-W2D3,10/17/22,18:50,-0.96,16.6,14.9,5.42,7.7,-0.881,4.75,mid,Summer 2022,5.854341137,32.62724268,2.2347094,5.779084891,porewater,0.538
171022-M-W2D4,10/17/22,18:50,-0.96,17.2,13.9,10.15,8,-1.055,4.75,mid,Summer 2022,4.426453055,40.55202153,11.6933074,18.11210404,porewater,0.702
171022-M-W3D1,10/17/22,19:25,-1.39,17.1,1.9,4.15,8.8,0.052,10.058,mid,Summer 2022,4.426453055,382.1028508,1.6178347,23.18091035,porewater,0.973
171022-M-W3D2,10/17/22,19:25,-1.39,17,5,3.98,8.2,-0.619,10.058,mid,Summer 2022,5.854341137,191.5511862,2.0012728,18.5963849,porewater,1.83
171022-M-W3D3,10/17/22,19:25,-1.39,17,5.7,4.43,8.1,-0.817,10.058,mid,Summer 2022,4.712030671,126.9392505,2.4728975,23.40690808,porewater,1.82
171022-M-W3D4,10/17/22,19:25,-1.39,17.1,6,3.93,8.1,-0.954,10.058,mid,Summer 2022,-1.784860103,36.98230133,6.7175584,47.6855217,porewater,1.1
171022-M-W4D1,10/17/22,20:05,-1.68,16.6,11.8,5.15,8.3,0.064,19.685,mid,Summer 2022,-2.141832123,126.7964617,1.3898959,-0.193712343,porewater,2.26
171022-M-W4D2,10/17/22,20:05,-1.68,16.3,11.4,7.35,8.3,-0.189,19.685,mid,Summer 2022,0.142788808,54.33114153,0,2.776543579,porewater,1.335
171022-M-W4D4,10/17/22,20:05,-1.68,16.1,10.1,5.52,8.3,-0.823,19.685,mid,Summer 2022,1.856254507,119.7284157,1.1960015,-1.937123427,porewater,1.51
211122-KitBlank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Summer 2022,NA,NA,NA,NA,kitome-blank,0.01
230222-L-W1D2,2/23/22,12:14,-2.21,14.8,1.5,4.94,8.7,0.536448,0,low,Winter 2022,0.499760829,317.4195207,2.327717221,42.87499852,porewater,2.18
230222-L-W1D3,2/23/22,12:14,-2.21,15,0.8,1.73,8.2,-0.033528,0,low,Winter 2022,0,470.132151,1.201551883,23.76204737,porewater,1.59
230222-L-W2D2-1,2/23/22,12:40,-1.97,15,11.3,8.4,8.2,0.347472,4.75,low,Winter 2022,103.521886,430.8652288,17.79261852,20.85636223,porewater,3.99
230222-L-W2D2-2,2/23/22,12:40,-1.97,15,11.3,8.4,8.2,0.347472,4.75,low,Winter 2022,103.521886,430.8652288,17.79261852,20.85636223,porewater,3.99
230222-L-W2D3,2/23/22,12:40,-1.97,14.5,0.8,1.66,9,-0.222504,4.75,low,Winter 2022,0.571155233,470.5605175,1.379367463,69.18759174,porewater,2.855
230222-L-W3D2,2/23/22,13:19,-1.48,13.7,3.2,7.8,9.2,0.155448,10.058,low,Winter 2022,0,182.2699137,2.62407652,21.82492395,porewater,2.14
230222-L-W3D3,2/23/22,13:19,-1.48,13.5,2.1,2.7,8.9,-0.326136,10.058,low,Winter 2022,0.285577616,323.4166506,0.727377004,32.38224663,porewater,1.665
230222-L-W3D4,2/23/22,13:19,-1.48,13.5,6.9,4.4,7.9,-1.088136,10.058,low,Winter 2022,3.212748185,188.338438,1.06317985,35.22336099,porewater,1.6575
230222-L-W4D2,2/23/22,14:05,-0.98,12.4,28.4,8.19,7.8,-0.588264,19.685,low,Winter 2022,0,105.2353517,0.607209731,3.971103026,porewater,1.535
230222-L-W4D3,2/23/22,14:05,-0.98,12.2,23.5,6.5,7.9,-1.00584,19.685,low,Winter 2022,0,145.3590068,0,4.423098492,porewater,0.509
230222-L-W4D4,2/23/22,14:05,-0.98,12,16.3,5.02,8.1,-1.76784,19.685,low,Winter 2022,0,201.1894308,0.628446559,5.423945596,porewater,1.27
240222-H-W1D2,2/24/22,6:10,1.45,11.6,1.2,6.3,8.8,0.536448,0,high,Winter 2022,0.571155233,296.5723547,2.56480466,46.84610155,porewater,1.63
240222-H-W1D3,2/24/22,6:10,1.45,11.8,0.8,2.97,8.4,-0.033528,0,high,Winter 2022,0,461.5648225,0,22.82577105,porewater,2.175
240222-H-W1D4,2/24/22,6:10,1.45,10.9,4.8,5.03,7.9,-0.57912,0,high,Winter 2022,0,1.070916062,37.53520199,90.625091,porewater,1.7
240222-H-W2D2,2/24/22,5:45,1.86,9.6,4,10.3,8.6,0.347472,4.75,high,Winter 2022,20.13322196,376.2485096,12.87810828,28.54028516,porewater,2.05
240222-H-W2D3,2/24/22,5:45,1.86,11.6,0.9,5.62,9,-0.222504,4.75,high,Winter 2022,0.499760829,425.0108876,0,65.05506176,porewater,2.415
240222-H-W3D2-1,2/24/22,5:15,2.12,10.8,2.4,5.4,8.9,0.155448,10.058,high,Winter 2022,0,247.0960326,2.031357921,28.24971665,porewater,1.848
240222-H-W3D2-2,2/24/22,5:15,2.12,10.8,2.4,5.4,8.9,0.155448,10.058,high,Winter 2022,0,247.0960326,2.031357921,28.24971665,porewater,1.848
240222-H-W3D3,2/24/22,5:15,2.12,10.5,1.9,2.6,8.7,-0.326136,10.058,high,Winter 2022,0.285577616,324.7017499,1.201551883,31.76882421,porewater,2.2225
240222-H-W3D4,2/24/22,5:15,2.12,10.6,8.1,2.8,7.7,-1.088136,10.058,high,Winter 2022,2.498804144,143.2171746,0.965289985,35.25564638,porewater,1.36
240222-H-W4D1,2/24/22,4:34,2.42,10.1,26.1,9.84,8,-0.420624,19.685,high,Winter 2022,0,112.7317641,0,3.58367834,porewater,1.03
240222-H-W4D2,2/24/22,4:34,2.42,10.4,26.7,7.9,7.9,-0.588264,19.685,high,Winter 2022,0,129.5808435,0,4.003388416,porewater,1.51
240222-H-W4D3,2/24/22,4:34,2.42,9.6,16.2,3.87,8.1,-1.00584,19.685,high,Winter 2022,0,193.5502295,0,5.230233254,porewater,0.988
240222-H-W4D4,2/24/22,4:34,2.42,9.7,14.7,3.72,8.1,-1.76784,19.685,high,Winter 2022,0,222.3221744,0,6.101938796,porewater,2
250222-H-MQBlank,2/25/22,NA,NA,NA,NA,NA,NA,NA,NA,high,Winter 2022,NA,NA,NA,NA,field-blank,0.09
250222-H-W1D2,2/25/22,7:30,1.54,10.1,1.1,4.92,8.9,0.536448,0,high,Winter 2022,0.713944041,310.2086858,2.5055328,47.13667006,porewater,2.52
250222-H-W1D3,2/25/22,7:30,1.54,10.6,0.8,3.96,8.5,-0.033528,0,high,Winter 2022,0,480.198762,1.260823743,23.11633957,porewater,1.95
250222-H-W1D4,2/25/22,7:30,1.54,10.2,4.2,6.96,8.2,-0.57912,0,high,Winter 2022,0,1.642071294,38.36500802,78.4534988,porewater,1.265
250222-H-W2D2,2/25/22,7:01,1.84,8.5,3.3,11.43,8.8,0.347472,4.75,high,Winter 2022,6.853862794,309.9231082,10.86286504,33.51223529,porewater,1.956
250222-H-W2D3,2/25/22,7:01,1.84,10.3,0.9,3.97,9.1,-0.222504,4.75,high,Winter 2022,0.356972021,427.4382974,1.142280023,60.59967788,porewater,1.825
250222-H-W3D2,2/25/22,6:24,2.27,11.1,2.2,9.83,9.3,0.155448,10.058,high,Winter 2022,0,254.9494171,0.727377004,31.25225796,porewater,2.335
250222-H-W3D3,2/25/22,6:24,2.27,12,1.8,5.02,9,-0.326136,10.058,high,Winter 2022,0,356.6150485,1.023736304,34.480797,porewater,1.57
250222-H-W3D4,2/25/22,6:24,2.27,11.6,8.1,3.37,7.9,-1.088136,10.058,high,Winter 2022,3.284142589,91.88459809,2.171433214,40.64730658,porewater,1.485
250222-H-W4D1,2/25/22,5:42,2.5,8.8,22,10.25,8.2,-0.420624,19.685,high,Winter 2022,0,127.5818001,0,3.906532245,porewater,2.5275
250222-H-W4D2,2/25/22,5:42,2.5,9.4,22.4,8.89,8.2,-0.588264,19.685,high,Winter 2022,0,129.2238714,0,4.552240054,porewater,1.54
250222-H-W4D3,2/25/22,5:42,2.5,10,13.7,4.08,8.2,-1.00584,19.685,high,Winter 2022,0,162.1366917,0,4.778237787,porewater,1.86
250222-H-W4D4,2/25/22,5:42,2.5,9.6,13.5,4.37,8.2,-1.76784,19.685,high,Winter 2022,0,224.7495841,0.700710735,5.71451411,porewater,1.41
250222-L-SW,2/25/22,16:15,-1.68,13.2,32.5,8.78,7.9,-0.512064,40,low,Winter 2022,0.214183212,16.63489616,2.239789368,1.969408818,seawater,2.75
250222-L-W1D2,2/25/22,14:20,-3.28,15,1.2,5.34,8.7,0.536448,0,low,Winter 2022,1.21370487,300.2134693,2.68334838,46.55553303,porewater,2.78
250222-L-W1D3,2/25/22,14:20,-3.28,15.2,0.8,3.72,8.4,-0.033528,0,low,Winter 2022,0,484.5538207,0,22.56748793,porewater,1.9725
250222-L-W1D4,2/25/22,14:20,-3.28,15.6,3.9,6.14,8.1,-0.57912,0,low,Winter 2022,0,1.427888082,33.56398737,81.1654716,porewater,1.92
